Course Name,CRN,Type,Section,Time,Day,Location,Instructor
ECE 120,65255,Discussion/ Recitation,AD7,05:00PM,05:50PM,R,2013 Electrical & Computer Eng Bldg,Ayar. N,4
ECE 120,65256,Discussion/ Recitation,AD8,11:00AM,11:50AM,R,3015 Electrical & Computer Eng Bldg,Tu. J,4
ECE 120,65257,Discussion/ Recitation,AD9,12:00PM,12:50PM,R,2015 Electrical & Computer Eng Bldg,Bongale. R,4
ECE 120,65258,Discussion/ Recitation,ADA,01:00PM,01:50PM,R,2015 Electrical & Computer Eng Bldg,Lakkidi. P,4
ECE 120,65260,Discussion/ Recitation,ADB,02:00PM,02:50PM,R,3081 Electrical & Computer Eng Bldg,Tu. J,4
ECE 120,65261,Discussion/ Recitation,ADC,03:00PM,03:50PM,R,4070 Electrical & Computer Eng Bldg,Shelke. A,4
ECE 120,66763,Discussion/ Recitation,ADD,04:00PM,04:50PM,R,3081 Electrical & Computer Eng Bldg,Ryu. C,4
ECE 120,64595,Lecture,AL1,09:00AM,09:50AM,MWF,3081 Electrical & Computer Eng Bldg,Zhang. H,4
ECE 120,65733,Online,AL2,11:00AM,11:50AM,MWF,n.a.,Bhat. S,4
ECE 120,65734,Lecture,AL3,01:00PM,01:50PM,MWF,1002 Electrical & Computer Eng Bldg,Aggarwal. A,4
ECE 120,75613,Lecture,AL5,03:00PM,03:50PM,MWF,3039 Campus Instructional Facility,Bhowmik. U,4
ECE 198,63630,Laboratory,JS1,06:00PM,07:50PM,T,1001 Electrical & Computer Eng Bldg,Dayalan. V Schmitz. C Wandke. K,3
ECE 198,62921,Laboratory,JS2,06:00PM,07:50PM,R,1001 Electrical & Computer Eng Bldg,Dayalan. V Schmitz. C Wandke. K,3
ECE 199,69256,Discussion/ Recitation,110,11:00AM,11:50AM,TR,0036 Campus Instructional Facility,Havens. B Schmitz. C,3
ECE 199,69258,Discussion/ Recitation,120,03:00PM,03:50PM,TR,ARR Digital Computer Laboratory,Schmitz. C Snyder. C,3
ECE 200,29836,Lecture,SH,05:00PM,06:50PM,W,1002 Electrical & Computer Eng Bldg,Kudeki. E,0
ECE 205,68303,Laboratory,AB2,10:00AM,11:50AM,M,4074 Electrical & Computer Eng Bldg,Kim. H,3
ECE 205,68304,Laboratory,AB3,03:00PM,04:50PM,M,4074 Electrical & Computer Eng Bldg,Wang. T Xiong. Y,3
ECE 205,68305,Laboratory,AB4,05:00PM,06:50PM,M,4074 Electrical & Computer Eng Bldg,Wang. T,3
ECE 205,68307,Laboratory,AB6,10:00AM,11:50AM,W,4074 Electrical & Computer Eng Bldg,Ashok. S Kapadia. N,3
ECE 205,68308,Laboratory,AB7,03:00PM,04:50PM,W,4074 Electrical & Computer Eng Bldg,Huang. P Orsel. O,3
ECE 205,68309,Laboratory,AB8,05:00PM,06:50PM,W,4074 Electrical & Computer Eng Bldg,Orsel. O Su. D,3
ECE 205,68310,Laboratory,AB9,08:00AM,09:50AM,R,4074 Electrical & Computer Eng Bldg,Kapadia. N Udayachandran. K,3
ECE 205,68311,Laboratory,ABA,05:00PM,06:50PM,R,4074 Electrical & Computer Eng Bldg,Kim. H Su. D,3
