Course Name,CRN,Type,Section,Time,Day,Location,Instructor
ECE 385,36843,Laboratory,AB1,ARRANGED,n.a.,Location Pending,Not Specified
ECE 385,36720,Lecture,AL1,04:00PM - 04:50PM,MW,1002 Electrical & Computer Eng Bldg,"Cheng, Z"
